OTU	F3D000	F3D001	F3D002	F3D003	F3D005	F3D006	F3D007	F3D008	F3D009	F3D141	F3D142	F3D143	F3D144	F3D145	F3D146	F3D147	F3D148	F3D149	F3D150
Streptococcus agalactiae	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
Staphylococcus aureus	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0
Prauserella rugosa	15	2	33	5	8	2	5	3	9	3	3	2	2	8	1	14	11	5	5
Streptomyces werraensis	6	10	21	5	0	24	9	9	8	3	11	2	1	2	0	7	0	3	5
Collinsella aerofaciens	89	12	39	5	10	16	7	18	15	21	2	6	10	4	3	1	10	10	2
Pseudoxanthomonas kalamensis	0	0	0	0	0	0	2	10	4	3	8	1	9	16	10	6	10	4	7
Haererehalobacter salaria	0	1	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0
Oceaniserpentilla haliotis	0	4	5	2	3	0	2	2	0	1	0	1	0	0	1	3	6	6	4
Carboxydothermus siderophilus	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
Bifidobacterium pseudolongum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
Skermania piniformis	2	3	30	16	11	9	1	2	2	1	1	1	0	0	1	1	1	6	3
Ruminococcus gnavus	7	6	31	8	1	1	2	6	10	3	2	0	1	1	0	7	6	7	1
Pseudomonas nitroreducens	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
Enterococcus sulfureus	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
Anoxybacillus kestanbolensis	16	3	26	12	5	3	8	3	6	10	0	2	0	2	3	9	12	4	3
Bacteroides barnesiae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
Bacillus aurantiacus	0	0	0	0	0	0	0	0	0	2	1	1	0	1	0	0	1	5	1
Staphylococcus sciuri	1	0	2	1	1	2	0	0	1	8	1	6	1	1	2	7	5	18	12
Ruminococcus gnavus	13	10	26	2	8	1	0	1	0	0	0	0	0	0	0	1	0	0	0
Plesiomonas shigelloides	28	22	40	5	12	40	4	28	36	7	3	1	2	2	14	15	8	13	8
Pseudoalteromonas porphyrae	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0
Plesiomonas shigelloides	0	0	1	9	1	1	1	0	2	6	1	4	12	15	10	18	13	12	0
Xenorhabdus kozodoii	0	0	0	0	2	1	0	0	2	2	1	1	6	2	1	2	4	6	4
Staphylococcus sciuri	64	29	175	96	41	35	21	17	36	40	27	18	41	84	29	118	112	105	40
Millettia pinnata	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
Cetobacterium somerae	18	9	18	7	2	8	1	2	4	0	0	0	0	0	1	0	0	0	0
Salinispora arenicola	1	3	1	0	2	5	0	1	0	1	1	0	0	2	1	13	6	3	0
Streptomyces ahygroscopicus	9	8	13	1	5	26	0	5	11	3	1	2	2	2	3	40	9	18	4
Eubacterium biforme	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1
Akkermansia muciniphila	18	19	72	7	17	16	9	19	29	11	4	9	1	5	17	32	16	33	31
Coprococcus eutactus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0
